,Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken
0,2019-07-28,31.784003920164,20.3001172590199,21.0045613398875,18.1886250087084,19.5669679588857,21.4800413448202,18.9449508384208,19.7706440179903,19.956603962734
1,2019-07-29,20.0601897214975,23.1795122089651,22.0715265206075,19.9278316453959,21.0841445304046,21.8074238285093,22.6916110010225,19.5332668062266,22.5669174341848
2,2019-07-30,17.0862133922816,17.3254828792285,17.5560789924606,16.4360212507526,17.170067415739,16.2621801081905,17.0377313887319,16.4965973279492,17.6790603358437
3,2019-07-31,19.9578475663507,20.7123734234866,19.7656102496683,20.3410876167268,18.9728511716387,19.4935410303319,19.6346485869999,18.658312760241,19.7431536619466
4,2019-08-01,19.9352711984849,19.9925101708503,19.718953145941,19.1757166641091,18.9998068621186,17.5210305760352,19.5159308137506,18.2732296560181,20.6383262027774
5,2019-08-02,27.6033486812758,19.0704608213171,20.8334236437591,21.9222809075949,20.4710342862428,20.5565382035948,20.372242425751,18.6009785024582,21.0238341857621
6,2019-08-03,28.5304747254096,20.7568069163442,22.7803388856537,19.3312089808067,21.7790356394699,20.2148925480981,20.9525964783771,19.9861514581236,22.134059717092
7,2019-08-04,21.9504273161211,25.8011167853086,25.0661371107126,22.3426362318514,24.0615709178221,23.3209592179781,23.4311963142383,22.7486936272039,24.6190968564642
8,2019-08-05,35.1471815234178,34.6988066669875,34.8989913018532,34.014060642698,34.1662320988804,34.0253851133816,33.5785072312619,33.2580598672942,33.8723444342632
9,2019-08-06,46.9015134582251,44.2136830673756,48.7004222442231,46.6804444393626,46.3623658529007,41.9640024959974,45.9276015043262,45.1408967217074,55.5596630473907
10,2019-08-07,44.8576621798053,43.2822056590206,41.3038062780784,42.2170629030983,41.4739148571184,39.3629719499721,42.0394397152674,39.0783366200852,43.2198326741547
11,2019-08-08,34.5944731536105,33.7507991177648,32.4847716820407,26.7489423109822,31.8770675907415,28.4226972913805,29.8372744017617,31.4760646033446,32.3854838930612
12,2019-08-09,25.2659798694457,24.5549153338414,23.9467369769236,22.8505987354994,23.0595007471773,23.4749053294869,22.688520011296,22.8032680142458,23.7478911011929
13,2019-08-10,24.8285346238845,26.6492512859842,25.5292415720313,24.6117029248935,24.2687623108239,25.952584971809,23.802166150621,24.0421946746008,24.2348459902629
14,2019-08-11,20.6763918421968,22.5358764404961,21.7861698642418,22.4755003166691,20.6493292716862,19.5020660924328,19.9203736532799,20.3656802545168,20.6641454683388
15,2019-08-12,22.8936405765576,17.628966845457,17.3321621527372,17.1488717733066,15.8560931806533,16.2146673860658,15.8861382955002,14.88699006708,15.5642859075649
16,2019-08-13,19.4756888847028,19.8737982798944,20.088269249191,22.7207944457716,19.2548822646021,20.8728450346135,18.6472496069242,18.6954801589026,19.0613281184052
17,2019-08-14,34.9968758418545,33.6387773543649,34.227633272646,34.4282324906414,33.7870047093418,30.9267558406891,33.0926956425813,32.4404781950764,33.4570135770845
18,2019-08-15,42.3225147739299,41.5396060533929,41.7545223886579,45.0245571160422,40.8564444050284,42.3366916221998,40.3540193498321,39.8894425883877,41.1258282883435
19,2019-08-16,43.7799377174427,44.3170098394315,42.7267432684412,41.8516182153958,42.684839298348,42.5959675652116,40.8152783070181,42.2064786129824,42.9680737848239
20,2019-08-17,32.6159642454923,27.0602420881488,27.2706953885762,25.4275007369461,26.6206570375389,23.9132993225389,26.4782120478635,25.7936542347733,25.8661425711029
21,2019-08-18,21.6845005778219,23.5069225547796,22.4800221248374,22.6182077360067,20.8490620404157,20.8128802089602,19.3502596807103,20.295419101575,22.6422939273785
22,2019-08-19,19.9619046099898,22.551024896403,21.1459336495648,20.2997844832709,20.9395982309883,20.7123342328272,21.0737239298732,19.248815623541,21.8041762323865
23,2019-08-20,21.0592259129107,21.5981612321629,21.680912104341,22.8108954438628,20.9940471729371,20.5876267554563,20.7797927900863,20.4111024376333,20.7117140536749
24,2019-08-21,35.8102507864008,35.9994753278505,35.9183185961974,34.3123270302923,36.0984263897662,33.7230079866936,34.7811089899379,33.2163013650205,36.1468753848205
25,2019-08-22,35.1682397470651,26.8605942938088,25.1715204669898,26.8446725118789,24.8746144856397,24.6389024611683,24.9089479877782,24.1329947355706,25.6400772881847
26,2019-08-23,26.7985274885524,22.0495833026359,21.137110730801,21.3307625783239,20.7199740286655,18.7574946790865,20.9718956945417,19.35130735222,21.4834515783275
27,2019-08-24,24.0963288070016,20.4666154800601,21.4014580026602,19.1395044838155,20.4541257140067,20.6512169063243,19.1094552397145,20.1381858304743,21.4597967216924
28,2019-08-25,25.341506965488,25.9493387853439,24.4298374312873,23.6850803035406,24.4119567114305,23.4263280425114,23.4851381922552,23.8635074177989,24.6275507995283
29,2019-08-26,27.7703205173037,27.0907483894248,26.4003716399332,26.159767564237,26.6408240120017,23.1157981042306,25.881740936772,25.0243441066542,27.90359222768
30,2019-08-27,17.8779983585476,17.1790445827549,17.1694939259119,18.1834640443671,16.8954836503673,14.6995287675318,16.2132489869892,16.1946067918488,17.6739513833152
31,2019-08-28,23.5782117609315,25.1124533819876,23.0514433260925,22.9695116467273,21.9916401357952,20.4131467245495,21.0929522422415,22.1675434072626,23.6713206388475
32,2019-08-29,22.3711752468784,18.5398679915115,19.0736442523649,18.6441148305192,17.6090763838889,16.7723170352645,18.7484020578288,17.7719083598974,19.9475707180808
33,2019-08-30,20.5450203579246,15.9558036838248,16.2286320427296,16.5177455077591,15.1338811650157,13.7389268148897,15.4534575796921,15.2846496726637,16.9204727493831
